Student,WashMachine,WashTime,DryMachine,DryTime,Delay
Luke,W2,1.5,D2,2.0,0.0
Roble,W2,0.0,D2,0.5,0.0
Kayla,W1,17.0,D1,17.5,0.0
George,W2,11.5,D1,12.5,0.0
Cleveland,W2,8.0,D2,8.5,0.0
Cliff,W2,6.0,D2,6.5,0.0
Clifford,W3,12.0,D2,13.0,1.5
Clifton,W3,8.5,D3,9.0,0.0
Clint,W1,20.0,D1,20.5,0.0
Clinten,W3,11.5,D3,12.0,3.0
Clinton,W2,12.0,D2,12.5,0.5
Clive,W3,9.0,D3,9.5,0.0
Clyde,W1,3.0,D1,3.5,0.0
Cob,W1,16.0,D1,16.5,0.0
Cobb,W3,10.0,D3,10.5,0.0
Cobbie,W2,10.0,D2,10.5,0.0
Cobby,W2,9.5,D3,10.0,0.0
Cody,W1,0.5,D1,1.0,0.0
Colbert,W2,16.5,D2,17.0,0.0
Cole,W1,5.0,D1,5.5,0.0
Coleman,W2,7.5,D2,8.0,0.0
Colin,W3,10.5,D2,11.0,0.0
Collin,W3,12.5,D3,13.0,0.0
Collins,W1,8.5,D2,9.0,0.0
Conan,W3,13.0,D3,14.0,1.5
Connie,W1,6.0,D1,6.5,0.0
Connolly,W1,7.5,D1,8.0,0.0
Connor,W1,7.0,D1,7.5,0.0
Conrad,W2,9.0,D2,9.5,0.0
Conroy,W2,11.0,D2,11.5,0.5
Constantin,W1,11.5,D1,12.0,1.0
Constantine,W2,12.5,D3,13.5,3.0
Holly,W1,0.0,D1,0.5,0.0
Holly-Anne,W1,9.0,D1,9.5,0.0
Hollyanne,W2,10.5,D1,11.0,0.0
Honey,W2,5.5,D2,6.0,0.0
Honor,W1,16.5,D1,17.0,0.0
Honoria,W1,2.0,D1,2.5,0.0
Hope,W3,9.5,D2,10.0,0.0
Horatia,W1,9.5,D1,10.0,0.0
Hortense,W1,11.0,D2,12.0,0.0
Hortensia,W3,11.0,D1,11.5,0.0
Hulda,W1,18.5,D1,19.0,0.0
Hyacinth,W1,6.5,D1,7.0,0.0
Hyacintha,W1,1.5,D1,2.0,0.0
Hyacinthe,W1,5.5,D1,6.0,0.0
Hyacinthia,W1,2.5,D1,3.0,0.0
Hyacinthie,W2,8.5,D1,9.0,0.0
Hynda,W1,12.0,D1,13.0,0.5
Ianthe,W1,8.0,D1,8.5,0.0
Ibbie,W1,10.0,D1,10.5,0.0
Ibby,W2,2.5,D2,3.0,0.0
Ida,W1,12.5,D1,13.5,0.0
Idalia,W2,13.0,D2,14.0,1.5
Idalina,W1,10.5,D3,11.5,0.0
